player_name,first_name,middle_name,last_name,nick_name,suffix,player_url,player_id
Bip Roberts,Bip,NULL,Roberts,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=roberbi01,184
Blue Moon Odom,Johnny,Lee,Odom,Blue Moon,NULL,https://www.baseball-almanac.com/players/player.php?p=odombl01,185
Bo Diaz,Bo,NULL,Diaz,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=diazbo01,186
Bo Jackson,Bo,NULL,Jackson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=jacksbo01,187
Bo McLaughlin,Bo,NULL,McLaughlin,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mclaubo01,188
Bob Allietta,Bob,NULL,Allietta,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=alliebo01,189
Bob Allison,Bob,NULL,Allison,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=allisbo01,190
Bob Apodaca,Bob,NULL,Apodaca,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=apodabo01,191
Bob Aspromonte,Bob,NULL,Aspromonte,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=asprobo01,192
Bob Babcock,Bob,NULL,Babcock,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=babcobo01,193
Bob Bailey,Bob,NULL,Bailey,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bailebo01,194
Bob Bailor,Bob,NULL,Bailor,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bailobo01,195
Bob Barton,Bob,NULL,Barton,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bartobo01,196
Bob Beall,Bob,NULL,Beall,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=beallbo01,197
Bob Boone,Bob,NULL,Boone,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=boonebo01,198
Bob Brenly,Bob,NULL,Brenly,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=brenlbo01,199
Bob Brower,Bob,NULL,Brower,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=browebo01,200
Bob Burda,Bob,NULL,Burda,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=burdabo01,201
Bob Christian,Bob,NULL,Christian,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=chrisbo01,202
Bob Coluccio,Bob,NULL,Coluccio,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=colucbo01,203
Bob Davis,Bob,NULL,Davis,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=davisbo01,204
Bob Dernier,Bob,NULL,Dernier,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=dernibo01,205
Bob Didier,Bob,NULL,Didier,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=didiebo01,206
Bob Forsch,Bob,NULL,Forsch,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=forscbo01,207
Bob Galasso,Bob,NULL,Galasso,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=galasbo01,208
Bob Gallagher,Bob,NULL,Gallagher,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=gallabo01,209
Bob Garibaldi,Bob,NULL,Garibaldi,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=garibbo01,210
Bob Gibson,Bob,NULL,Gibson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=gibsobo01,211
Bob Gorinski,Bob,NULL,Gorinski,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=gorinbo01,212
Bob Hansen,Bob,NULL,Hansen,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hansebo01,213
Bob Heise,Bob,NULL,Heise,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=heisebo01,214
Bob Horner,Bob,NULL,Horner,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hornebo01,215
Bob Humphreys,Bob,NULL,Humphreys,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=humphbo01,216
Bob James,Bob,NULL,James,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=jamesbo01,217
Bob Johnson,Bob,NULL,Johnson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=johnsbo01,218
Bob Jones,Bob,NULL,Jones,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=jonesbo02,219
Bob Kearney,Bob,NULL,Kearney,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=kearnbo01,220
Bob Keegan,Bob,NULL,Keegan,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=keegabo01,221
Bob Kipper,Bob,NULL,Kipper,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=kippebo01,222
Bob Knepper,Bob,NULL,Knepper,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=kneppbo01,223
