card_year,card_num,card_stat_year,card_desc,card_notes,card_player_url,card_player_id,,,
1970,541,1969,Bill Heath,,https://www.baseball-almanac.com/players/player.php?p=heathbi01,130,,Bill Heathhttps://www.baseball-almanac.com/players/player.php?p=heathbi01,
1984,178,1983,Bill Krueger,,https://www.baseball-almanac.com/players/player.php?p=kruegbi01,131,,Bill Kruegerhttps://www.baseball-almanac.com/players/player.php?p=kruegbi01,
1988,42,1987,Bill Landrum,,https://www.baseball-almanac.com/players/player.php?p=landrbi01,132,,Bill Landrumhttps://www.baseball-almanac.com/players/player.php?p=landrbi01,
1983,518,1982,Bill Laskey,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=laskebi01,133,,Bill Laskeyhttps://www.baseball-almanac.com/players/player.php?p=laskebi01,
1977,394,1976,Bill Laxton,,https://www.baseball-almanac.com/players/player.php?p=laxtobi01,134,,Bill Laxtonhttps://www.baseball-almanac.com/players/player.php?p=laxtobi01,
1970,279,1969,Bill Lee,,https://www.baseball-almanac.com/players/player.php?p=leebi03,135,,Bill Leehttps://www.baseball-almanac.com/players/player.php?p=leebi03,
1971,58,1970,Bill Lee,,https://www.baseball-almanac.com/players/player.php?p=leebi02,135,,Bill Leehttps://www.baseball-almanac.com/players/player.php?p=leebi02,
1988,309,1987,Bill Long,,https://www.baseball-almanac.com/players/player.php?p=longbi01,136,,Bill Longhttps://www.baseball-almanac.com/players/player.php?p=longbi01,
1975,104,1974,Bill Madlock,,https://www.baseball-almanac.com/players/player.php?p=madlobi01,137,,Bill Madlockhttps://www.baseball-almanac.com/players/player.php?p=madlobi01,
1970,440,1969,Bill Mazeroski,,https://www.baseball-almanac.com/players/player.php?p=mazerbi01,138,,Bill Mazeroskihttps://www.baseball-almanac.com/players/player.php?p=mazerbi01,
1970,518,1969,Bill Melton,,https://www.baseball-almanac.com/players/player.php?p=meltobi01,139,,Bill Meltonhttps://www.baseball-almanac.com/players/player.php?p=meltobi01,
1987,548,1986,Bill Mooneyham,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=moonebi01,140,,Bill Mooneyhamhttps://www.baseball-almanac.com/players/player.php?p=moonebi01,
1979,169,1978,Bill Nahorodny,,https://www.baseball-almanac.com/players/player.php?p=nahorbi01,141,,Bill Nahorodnyhttps://www.baseball-almanac.com/players/player.php?p=nahorbi01,
1974,345,1973,Bill North,,https://www.baseball-almanac.com/players/player.php?p=northbi01,142,,Bill Northhttps://www.baseball-almanac.com/players/player.php?p=northbi01,
1972,281,1971,Bill Parsons,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=parsobi01,143,,Bill Parsonshttps://www.baseball-almanac.com/players/player.php?p=parsobi01,
1988,433,1987,Bill Pecota,,https://www.baseball-almanac.com/players/player.php?p=pecotbi01,144,,Bill Pecotahttps://www.baseball-almanac.com/players/player.php?p=pecotbi01,
1974,524,1973,Bill Plummer,,https://www.baseball-almanac.com/players/player.php?p=plummbi01,145,,Bill Plummerhttps://www.baseball-almanac.com/players/player.php?p=plummbi01,
1970,426,1969,Bill Rigney,,https://www.baseball-almanac.com/players/player.php?p=rignebi01,146,,Bill Rigneyhttps://www.baseball-almanac.com/players/player.php?p=rignebi01,
1970,23,1969,Bill Robinson,,https://www.baseball-almanac.com/players/player.php?p=robinbi02,147,,Bill Robinsonhttps://www.baseball-almanac.com/players/player.php?p=robinbi02,
1970,304,1969,Bill Russell,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=russebi01,148,,Bill Russellhttps://www.baseball-almanac.com/players/player.php?p=russebi01,
1984,373,1983,Bill Scherrer,,https://www.baseball-almanac.com/players/player.php?p=scherbi01,149,,Bill Scherrerhttps://www.baseball-almanac.com/players/player.php?p=scherbi01,
1984,738,1983,Bill Schroeder,,https://www.baseball-almanac.com/players/player.php?p=schrobi01,150,,Bill Schroederhttps://www.baseball-almanac.com/players/player.php?p=schrobi01,
1974,519,1973,Bill Sharp,,https://www.baseball-almanac.com/players/player.php?p=sharpbi01,151,,Bill Sharphttps://www.baseball-almanac.com/players/player.php?p=sharpbi01,
1970,490,1969,Bill Singer,,https://www.baseball-almanac.com/players/player.php?p=singebi01,152,,Bill Singerhttps://www.baseball-almanac.com/players/player.php?p=singebi01,
1976,131,1975,Bill Stein,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=steinbi02,153,,Bill Steinhttps://www.baseball-almanac.com/players/player.php?p=steinbi02,
1970,398,1969,Bill Stoneman,,https://www.baseball-almanac.com/players/player.php?p=stonebi01,154,,Bill Stonemanhttps://www.baseball-almanac.com/players/player.php?p=stonebi01,
1970,341,1969,Bill Sudakis,,https://www.baseball-almanac.com/players/player.php?p=sudakbi01,155,,Bill Sudakishttps://www.baseball-almanac.com/players/player.php?p=sudakbi01,
