card_desc,card_notes,card_player_url,dups,player_id
Bob Jones,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=jonesbo02,,223
Bob Kearney,,https://www.baseball-almanac.com/players/player.php?p=kearnbo01,,224
Bob Kipper,,https://www.baseball-almanac.com/players/player.php?p=kippebo01,,225
Bob Knepper,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=kneppbo01,,226
Bob Lacey,,https://www.baseball-almanac.com/players/player.php?p=laceybo01,,227
Bob Locker,,https://www.baseball-almanac.com/players/player.php?p=lockebo02,,228
Bob McClure,,https://www.baseball-almanac.com/players/player.php?p=mcclubo01,,229
Bob Meacham,,https://www.baseball-almanac.com/players/player.php?p=meachbo01,,230
Bob Melvin,,https://www.baseball-almanac.com/players/player.php?p=melvibo01,,231
Bob Meyer,,https://www.baseball-almanac.com/players/player.php?p=meyerbo01,,232
Bob Milacki,,https://www.baseball-almanac.com/players/player.php?p=milacbo01,,233
Bob Miller,,https://www.baseball-almanac.com/players/player.php?p=millebo04,DUP,234
Bob Miller,,https://www.baseball-almanac.com/players/player.php?p=millebo01,DUP,235
Bob Molinaro,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=molinbo01,,236
Bob Montgomery,,https://www.baseball-almanac.com/players/player.php?p=montgbo01,,237
Bob Moose,,https://www.baseball-almanac.com/players/player.php?p=moosebo01,,238
Bob Myrick,,https://www.baseball-almanac.com/players/player.php?p=myricbo01,,239
Bob Ojeda,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=ojedabo01,,240
Bob Oliver,,https://www.baseball-almanac.com/players/player.php?p=olivebo01,,241
Bob Owchinko,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=owchibo01,,242
Bob Patterson,,https://www.baseball-almanac.com/players/player.php?p=pattebo01,,243
Bob Priddy,,https://www.baseball-almanac.com/players/player.php?p=priddbo01,,244
Bob Randall,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=randabo01,,245
Bob Reed,,https://www.baseball-almanac.com/players/player.php?p=reedbo01,,246
Bob Reynolds,,https://www.baseball-almanac.com/players/player.php?p=reynobo01,,247
Bob Robertson,,https://www.baseball-almanac.com/players/player.php?p=roberbo01,,248
Bob Sebra,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=sebrabo01,,249
Bob Sheldon,,https://www.baseball-almanac.com/players/player.php?p=sheldbo01,,250
Bob Shirley,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=shirlbo01,,251
Bob Spence,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=spencbo01,,252
Bob Stanley,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=stanlbo01,,253
Bob Stinson,,https://www.baseball-almanac.com/players/player.php?p=stinsbo01,,254
Bob Stoddard,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=stoddbo01,,255
Bob Sykes,,https://www.baseball-almanac.com/players/player.php?p=sykesbo01,,256
Bob Tewksbury,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=tewksbo01,,257
Bob Tillman,,https://www.baseball-almanac.com/players/player.php?p=tillmbo01,,258
Bob Valentine,,https://www.baseball-almanac.com/players/player.php?p=valenbo01,,259
Bob Veale,,https://www.baseball-almanac.com/players/player.php?p=vealebo01,,260
Bob Walk,,https://www.baseball-almanac.com/players/player.php?p=walkbo01,,261
Bob Watson,,https://www.baseball-almanac.com/players/player.php?p=watsobo01,,262
Bob Welch,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=welchbo01,,263
Bobby Bolin,,https://www.baseball-almanac.com/players/player.php?p=bolinbo01,,264
Bobby Bonds,,https://www.baseball-almanac.com/players/player.php?p=bondsbo01,,265
Bobby Bonilla,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=bonilbo01,,266
Bobby Brown,,https://www.baseball-almanac.com/players/player.php?p=brownbo04,,267
Bobby Castillo,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=castibo01,,268
Bobby Clark,,https://www.baseball-almanac.com/players/player.php?p=clarkbo04,,269
Bobby Cox,,https://www.baseball-almanac.com/players/player.php?p=coxbo01,,270
Bobby Darwin,,https://www.baseball-almanac.com/players/player.php?p=darwibo01,,271
Bobby Etheridge,,https://www.baseball-almanac.com/players/player.php?p=etherbo01,,272
Bobby Floyd,,https://www.baseball-almanac.com/players/player.php?p=floydbo01,,273
Bobby Grich,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=grichbo01,,274
Bobby Knoop,,https://www.baseball-almanac.com/players/player.php?p=knoopbo01,,275
Bobby Mitchell,,https://www.baseball-almanac.com/players/player.php?p=mitchbo03,,276
Bobby Murcer,,https://www.baseball-almanac.com/players/player.php?p=murcebo01,,277
Bobby Pfeil,,https://www.baseball-almanac.com/players/player.php?p=pfeilbo01,,278
Bobby Ramos,,https://www.baseball-almanac.com/players/player.php?p=ramosbo01,,279
Bobby Thigpen,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=thigpbo01,,280
Bobby Thompson,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=thompbo01,,281
Bobby Tolan,,https://www.baseball-almanac.com/players/player.php?p=tolanbo01,,282
Bobby Valentine,,https://www.baseball-almanac.com/players/player.php?p=valenbo02,,283
Bobby Wine,,https://www.baseball-almanac.com/players/player.php?p=winebo01,,284
Bobby Witt,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=wittbo01,,285
Bombo Rivera,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=riverbo01,,286
Boog Powell,,https://www.baseball-almanac.com/players/player.php?p=powelbo01,,287
Boots Day,,https://www.baseball-almanac.com/players/player.php?p=daybo01,,288
Brad Arnsberg,,https://www.baseball-almanac.com/players/player.php?p=arnsbbr01,,289
Brad Gulden,,https://www.baseball-almanac.com/players/player.php?p=guldebr01,,290
Brad Havens,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=havenbr01,,291
Brad Komminsk,,https://www.baseball-almanac.com/players/player.php?p=kommibr01,,292
Brad Lesley,,https://www.baseball-almanac.com/players/player.php?p=leslebr01,,293
Brad Mills,,,,294
Brad Moore,,https://www.baseball-almanac.com/players/player.php?p=moorebr01,,295
